[2026-05-22 14:27:55] [INFO] === ZAPRET MANAGER started ===
[2026-05-22 14:27:55] [INFO] OS: Microsoft Windows NT 10.0.26200.0 | .NET: 8.0.27
[2026-05-23 00:12:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:12:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:12:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:12:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:12:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:13:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:13:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:13:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:13:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:13:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:13:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:14:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:14:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:14:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:14:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:14:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:14:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:15:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:15:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:15:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:15:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:15:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:15:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:16:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:16:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:16:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:16:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:16:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:16:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:17:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:17:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:17:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:17:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:17:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:17:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:18:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:18:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:18:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:18:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:18:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:18:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:19:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:19:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:19:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:19:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:19:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:19:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:20:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:20:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:20:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:20:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:20:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:20:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:21:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:21:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:21:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:21:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:21:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:21:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:22:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:22:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:22:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:22:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:22:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:22:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:23:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:23:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:23:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:23:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:23:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:23:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:24:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:24:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:24:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:24:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:24:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:24:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:25:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:25:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:25:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:25:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:25:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:25:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:26:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:26:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:26:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:26:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:26:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:26:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:27:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:27:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:27:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:27:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:27:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:27:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:28:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:28:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:28:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:28:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:28:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:28:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:29:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:29:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:29:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
